id,school_id,hours,edu_function_data_id
155,1,24.0,1719
160,1,24.0,1725
169,1,3.0,1733
289,10,18.0,1851
165,1,24.0,1730
64,8,24.0,1641
63,8,24.0,1640
13,10,3.0,165
56,12,24.0,1635
122,2,24.0,1690
208,10,11.0,1771
230,10,4.0,1788
209,10,18.0,1772
119,2,24.0,1688
49,4,9.0,291
263,11,22.0,1835
264,11,22.0,1836
262,11,22.0,1834
194,3,7.0,1758
184,3,22.0,1743
176,3,24.0,1750
219,10,17.0,1781
183,3,24.0,1742
200,10,22.0,1762
12,10,20.0,375
314,12,24.0,412
68,8,24.0,1645
275,11,22.0,1832
287,10,4.0,1850
245,10,20.0,1809
21,10,2.0,448
309,11,8.0,1921
42,4,22.0,1622
190,1,1.0,1753
128,2,14.0,1695
300,1,16.0,502
76,8,24.0,1651
306,11,19.0,521
260,11,22.0,1833
152,1,24.0,1716
304,10,20.0,553
173,3,24.0,1747
319,8,9.0,597
73,8,24.0,1653
9,10,15.0,628
15,10,32.0,630
316,12,3.0,661
25,8,24.0,675
185,3,24.0,1744
16,3,24.0,679
220,10,4.0,1782
87,5,5.0,1665
88,8,11.0,1665
191,1,12.0,1665
116,2,24.0,1686
266,11,22.0,1837
121,2,24.0,759
312,5,24.0,824
19,3,24.0,859
280,11,22.0,881
197,10,22.0,1759
238,10,16.0,1803
215,10,22.0,1778
252,10,21.0,1818
301,12,12.0,939
315,12,24.0,949
310,5,2.0,954
89,8,24.0,967
20,10,9.0,970
235,10,16.0,1800
247,10,40.0,1812
255,10,30.0,984
218,10,22.0,988
140,1,24.0,1048
141,1,24.0,1049
186,3,24.0,1054
23,10,9.0,1066
26,10,9.0,1076
22,10,23.0,1079
311,5,1.0,1105
137,2,6.0,1701
307,11,20.0,1121
308,11,23.0,1122
294,10,22.0,1136
237,10,21.0,1802
179,3,24.0,1738
295,8,24.0,1152
130,2,14.0,1698
321,1,3.0,1177
286,10,15.0,1849
244,10,17.0,1810
14,11,23.0,1187
323,1,1.0,1201
322,1,16.0,1212
24,1,8.0,1212
156,1,24.0,1720
164,1,24.0,1729
296,3,21.0,1236
298,3,24.0,1237
67,8,24.0,1265
18,8,24.0,1269
71,8,6.0,1648
85,8,29.0,1661
61,8,24.0,1639
318,8,5.0,1275
317,8,24.0,1276
299,3,16.0,1298
46,4,16.0,1626
50,4,12.0,1320
57,12,20.0,1636
58,12,7.0,1322
313,4,9.0,1339
297,3,21.0,1348
188,1,19.0,1751
96,4,6.0,1672
100,12,12.0,1672
171,3,24.0,1746
325,8,15.0,1446
248,10,30.0,1813
177,3,24.0,1737
129,2,24.0,1697
111,2,24.0,1518
105,2,24.0,1519
107,2,24.0,1520
31,5,24.0,1526
126,2,24.0,1696
229,10,22.0,1786
221,10,17.0,1783
204,10,22.0,1766
109,2,24.0,1679
27,5,24.0,1608
28,5,24.0,1609
29,5,24.0,1610
30,5,24.0,1611
32,5,24.0,1612
33,5,24.0,1613
34,5,24.0,1614
35,5,18.0,1615
36,5,18.0,1616
37,5,18.0,1617
38,5,9.0,1618
39,5,24.0,1619
40,4,24.0,1620
41,4,24.0,1621
43,4,24.0,1623
44,4,24.0,1624
45,4,24.0,1625
47,4,24.0,1627
48,4,24.0,1628
51,12,24.0,1629
52,12,24.0,1630
53,12,24.0,1631
54,12,24.0,1632
101,12,24.0,1633
55,12,24.0,1634
59,8,24.0,1637
60,8,24.0,1638
65,8,24.0,1642
66,8,24.0,1643
70,8,24.0,1646
69,8,24.0,1647
78,8,24.0,1656
77,8,24.0,1650
72,8,24.0,1652
74,8,24.0,1654
75,8,24.0,1655
79,8,24.0,1657
80,8,10.0,1658
81,5,24.0,1660
303,5,9.0,1885
82,8,5.0,1662
86,5,26.0,1662
83,8,15.0,1663
192,3,18.0,1664
84,8,18.0,1664
90,12,15.0,1666
91,8,9.0,1666
92,12,24.0,1667
93,12,24.0,1668
94,12,20.0,1669
95,12,6.0,1670
102,12,24.0,1671
97,4,1.0,1674
98,4,5.0,1673
99,12,5.0,1673
104,2,24.0,1676
110,2,24.0,1680
103,2,24.0,1675
108,2,24.0,1678
112,2,24.0,1681
113,2,24.0,1682
114,2,24.0,1683
115,2,24.0,1684
117,2,6.0,1685
135,2,27.0,1700
118,2,18.0,1687
302,5,6.0,1687
106,2,24.0,1677
120,2,24.0,1689
123,2,24.0,1691
124,2,24.0,1692
125,2,24.0,1693
127,2,24.0,1694
131,2,10.0,1699
138,1,10.0,1699
170,3,9.0,1699
133,2,23.0,1702
134,2,12.0,1703
132,2,16.0,1704
139,1,24.0,1705
142,1,24.0,1706
143,1,24.0,1707
144,1,24.0,1708
147,1,24.0,1711
148,1,24.0,1712
149,1,24.0,1713
150,1,24.0,1714
153,1,24.0,1717
154,1,24.0,1718
157,1,24.0,1722
145,1,24.0,1709
