id,school_id,edu_function_data_id,beginDate,endDate,hours
1,1,1,2002-09-01,2003-06-30,24.0
2,1,1,2003-09-01,2004-06-30,24.0
3,1,2,2003-03-24,2003-06-30,3.0
4,1,3,2003-03-24,2003-06-30,6.0
5,1,4,2003-11-03,2004-01-25,24.0
6,1,4,2004-01-26,2004-02-13,12.0
7,1,5,2003-09-01,2003-10-10,5.0
8,9,5,2003-09-01,2003-10-10,19.0
10,12,6,2007-11-07,2007-11-09,24.0
9,12,6,2007-11-15,2007-11-16,24.0
11,12,6,2007-11-23,2007-11-23,24.0
12,1,7,2003-09-01,2004-04-18,6.0
13,1,7,2004-04-19,2004-06-30,21.0
14,1,8,2003-09-01,2004-06-30,3.0
16,9,9,2004-03-01,2004-06-30,4.0
15,1,9,2004-04-19,2004-06-30,1.0
17,1,10,2002-10-13,2002-10-25,24.0
18,1,11,2004-11-30,2004-12-24,17.0
19,1,12,2005-04-11,2005-06-30,24.0
20,8,12,2005-09-01,2006-06-30,24.0
21,1,13,2003-09-01,2004-08-31,3.0
22,1,13,2004-09-01,2005-08-31,2.0
23,1,14,2003-01-08,2003-01-31,24.0
24,1,14,2004-04-21,2004-05-07,14.0
25,1,15,2004-04-21,2004-05-07,10.0
26,1,16,2005-03-03,2005-03-08,24.0
27,1,17,2001-09-24,2001-12-31,24.0
28,1,17,2002-01-10,2002-06-30,12.0
29,1,18,2001-09-01,2002-06-30,24.0
30,1,19,2004-01-05,2004-01-30,24.0
32,1,21,2002-01-07,2002-02-01,12.0
31,1,20,2001-10-06,2001-10-26,24.0
34,1,22,2005-04-18,2005-06-30,9.0
35,2,22,2005-04-18,2005-06-30,10.0
37,3,22,2005-04-18,2005-06-30,9.0
33,1,22,2005-09-01,2006-03-22,9.0
36,2,22,2005-09-01,2006-03-22,10.0
38,3,22,2005-09-01,2006-03-22,9.0
39,1,23,2002-09-27,2002-10-11,24.0
40,1,24,2003-10-15,2003-11-18,24.0
41,1,24,2003-11-19,2004-01-25,12.0
42,1,24,2004-01-26,2004-06-30,24.0
43,1,25,2004-09-01,2005-06-30,24.0
44,1,26,2004-02-26,2004-05-14,24.0
45,8,26,2004-05-17,2004-06-06,24.0
46,1,27,2002-11-21,2002-12-17,24.0
47,1,28,2001-10-04,2002-06-30,11.0
48,1,28,2002-03-14,2002-03-21,13.0
5211,1,1719,2000-09-01,2003-06-30,24.0
49,1,29,2004-09-01,2005-06-30,1.0
5216,1,1725,2000-09-01,2003-06-30,24.0
50,1,30,2002-03-14,2002-03-21,5.0
51,4,30,2002-10-08,2002-12-08,4.0
58,3,31,2003-01-06,2003-03-23,12.0
52,9,31,2006-01-24,2006-01-24,12.0
53,9,31,2006-02-08,2006-02-08,12.0
54,9,31,2006-02-13,2006-02-13,12.0
56,9,31,2006-02-20,2006-02-20,12.0
55,9,31,2006-03-14,2006-03-14,12.0
57,9,31,2006-03-21,2006-03-21,12.0
59,9,31,2006-09-22,2006-09-22,24.0
60,9,31,2006-11-08,2006-11-08,12.0
61,9,31,2006-12-22,2006-12-22,12.0
62,9,31,2007-03-21,2007-03-21,12.0
63,9,31,2007-05-09,2007-05-09,12.0
64,9,32,2006-01-17,2006-01-17,12.0
65,9,32,2006-01-18,2006-01-18,12.0
66,9,32,2006-01-31,2006-01-31,12.0
67,9,32,2006-02-01,2006-02-02,12.0
68,9,32,2006-02-02,2006-02-02,12.0
69,9,32,2006-02-07,2006-02-07,12.0
70,9,32,2006-03-22,2006-03-22,12.0
71,9,32,2006-09-22,2006-09-22,24.0
72,9,32,2007-09-21,2007-09-21,12.0
73,9,32,2007-09-27,2007-09-27,12.0
74,9,32,2007-10-15,2007-10-15,12.0
75,9,33,2006-01-12,2006-03-31,24.0
76,9,33,2006-04-26,2006-04-28,24.0
5385,5,33,2017-02-16,2017-02-24,24.0
6795,2,33,2019-03-11,2019-03-22,24.0
6794,2,33,2019-03-23,2019-04-05,24.0
6793,2,33,2019-05-07,2019-05-07,24.0
6792,2,33,2019-05-08,2019-05-08,24.0
77,9,34,2005-09-01,2006-06-30,24.0
80,9,35,2003-09-01,2004-06-30,9.0
79,9,35,2004-09-01,2005-06-30,9.0
78,9,35,2005-09-01,2006-06-30,7.0
81,9,35,2006-09-01,2007-06-30,3.0
82,9,35,2006-10-19,2006-10-19,16.0
83,9,36,2005-09-01,2006-06-30,2.0
84,9,37,2004-11-22,2004-12-24,24.0
85,9,38,2006-02-02,2006-03-27,16.0
86,8,38,2008-01-09,2008-01-25,12.0
87,8,38,2008-01-16,2008-01-16,12.0
7166,14,38,2019-09-01,2020-06-30,4.0
88,9,39,2006-02-16,2006-03-11,24.0
89,9,40,2006-01-31,2006-02-28,24.0
90,9,41,2004-11-25,2005-06-30,5.0
91,9,42,2004-11-08,2005-06-30,24.0
92,5,42,2006-05-11,2006-05-19,24.0
93,1,42,2009-10-01,2009-10-01,24.0
94,9,43,2001-04-17,2001-05-11,24.0
95,9,43,2005-02-01,2005-06-30,16.0
96,9,44,2001-09-01,2002-06-30,24.0
97,9,44,2002-09-01,2003-06-30,24.0
98,9,44,2003-09-01,2004-06-30,24.0
99,1,44,2004-09-01,2005-01-30,24.0
100,9,45,2004-05-04,2004-06-18,14.0
101,9,45,2004-06-19,2004-06-30,24.0
102,9,46,2004-05-06,2004-06-18,10.0
103,9,47,2003-09-01,2004-06-30,7.0
104,9,47,2003-09-01,2003-10-31,1.0
105,9,47,2003-11-01,2004-06-30,1.0
106,9,47,2003-11-18,2004-06-30,6.0
107,9,47,2004-01-05,2004-06-30,5.0
108,2,47,2005-09-09,2005-09-22,24.0
109,2,47,2005-10-04,2005-10-28,24.0
110,2,47,2005-11-07,2006-02-19,24.0
111,2,47,2006-02-20,2006-03-31,24.0
112,2,47,2006-06-06,2006-06-09,24.0
113,2,47,2006-06-12,2006-06-13,24.0
114,2,47,2006-06-15,2006-06-16,24.0
115,9,48,2004-03-04,2004-03-24,12.0
117,9,49,2002-01-29,2002-06-30,9.0
116,9,49,2002-09-01,2003-06-30,9.0
118,9,50,2003-03-17,2003-03-21,13.0
119,9,51,2002-10-02,2002-10-18,12.0
120,9,51,2002-10-21,2002-10-25,24.0
121,9,52,2002-10-14,2002-10-18,12.0
122,9,53,2002-11-04,2002-12-20,24.0
123,9,53,2003-01-08,2003-02-28,24.0
124,9,54,2002-02-07,2002-03-14,14.0
125,9,55,2003-05-23,2003-06-30,14.0
126,9,56,2003-05-26,2003-06-30,24.0
127,9,57,2001-09-24,2002-06-30,9.0
128,9,58,2002-04-15,2002-06-30,12.0
129,9,58,2002-05-27,2002-06-28,12.0
130,7,58,2002-11-04,2003-04-27,24.0
131,7,58,2003-04-28,2003-06-30,24.0
132,7,58,2003-09-01,2003-11-13,24.0
133,7,58,2003-12-08,2003-12-19,24.0
134,9,59,2002-05-27,2002-06-28,12.0
135,4,59,2005-10-10,2005-10-28,24.0
145,12,60,2000-10-23,2001-06-30,5.0
136,6,60,2005-09-01,2005-09-30,24.0
137,6,60,2005-10-01,2005-10-28,24.0
138,6,60,2005-11-24,2005-11-25,24.0
139,6,60,2005-11-28,2005-12-02,24.0
140,6,60,2005-12-15,2005-12-16,24.0
141,6,60,2005-12-19,2005-12-19,24.0
142,6,60,2006-03-07,2006-03-20,24.0
143,6,60,2006-03-22,2006-03-24,24.0
144,6,60,2006-04-18,2006-05-02,24.0
146,6,60,2006-05-03,2006-06-15,24.0
147,2,60,2014-09-15,2015-03-14,12.0
148,2,60,2015-03-18,2015-06-28,12.0
149,2,60,2015-06-29,2015-06-30,12.0
150,6,61,2005-11-14,2006-05-24,11.0
151,6,61,2008-02-14,2008-02-29,12.0
5224,1,1733,2000-09-01,2003-06-30,24.0
152,6,62,2005-09-01,2006-06-30,4.0
153,6,62,2005-09-01,2006-03-31,1.0
155,6,62,2006-05-12,2006-05-12,20.0
154,6,62,2006-05-24,2006-05-24,20.0
157,6,62,2006-09-01,2007-02-04,11.0
158,3,62,2006-12-05,2007-06-30,1.0
156,6,62,2007-02-05,2007-06-30,8.0
159,6,62,2008-09-01,2009-06-30,1.0
160,6,62,2009-11-24,2009-11-24,12.0
161,6,63,2005-09-01,2005-12-12,9.0
