id,educational_function_id,employee_id,seniority_days,total_seniority_days,isTadd
1,3,1,514.0,607.0,0
2,1,2,49.5,49.5,0
3,3,2,49.5,49.5,0
4,3,3,101.0,103.0,0
5,4,4,40.0,40.0,0
6,3,4,6.0,6.0,0
7,1,5,188.5,188.5,0
8,3,5,152.0,152.0,0
9,1,6,59.0,61.0,0
10,3,7,13.0,13.0,0
11,4,8,25.0,25.0,0
12,3,9,384.0,384.0,0
13,7,10,365.5,365.5,0
14,3,11,41.0,41.0,0
15,1,12,8.5,8.5,0
16,3,13,6.0,6.0,0
17,3,14,271.0,271.0,0
18,3,15,302.0,303.0,0
19,1,16,26.0,26.0,0
21,1,17,26.0,26.0,0
20,3,17,21.0,21.0,0
22,2,18,275.0,277.0,0
23,3,19,15.0,15.0,0
24,3,20,257.0,260.0,0
25,3,21,288.0,303.0,0
26,3,22,100.0,100.0,0
27,3,23,27.0,27.0,0
28,3,24,133.5,139.0,0
1719,3,25,1033.0,1033.0,1
29,9,25,151.5,151.5,0
1725,1,26,1033.0,1033.0,1
30,3,26,35.0,35.0,0
31,1,27,88.0,88.0,0
32,3,27,11.0,11.0,0
33,3,28,107.0,119.0,0
34,1,29,300.0,303.0,0
35,2,30,589.5,607.0,0
36,4,31,151.5,151.5,0
37,1,32,33.0,33.0,0
38,1,33,71.0,71.0,0
39,3,34,24.0,24.0,0
40,3,35,29.0,29.0,0
41,8,36,109.0,109.0,0
42,3,37,245.0,245.0,0
43,1,38,147.0,175.0,0
44,3,38,1005.0,1062.0,0
45,3,39,58.0,58.0,0
46,3,40,22.0,22.0,0
47,3,41,457.0,457.0,0
48,1,42,21.0,21.0,0
49,2,43,226.0,228.0,0
50,1,43,5.0,5.0,0
51,4,44,22.0,22.0,0
52,3,44,5.0,5.0,0
53,3,45,99.0,99.0,0
54,3,46,36.0,36.0,0
55,1,47,33.0,39.0,0
56,3,48,36.0,36.0,0
57,2,49,48.5,140.0,0
58,1,50,386.0,402.0,0
59,1,51,49.0,52.0,0
60,3,52,554.5,555.5,0
61,4,53,112.0,112.0,0
1733,4,54,1033.0,1033.0,1
62,3,54,487.0,487.5,0
63,4,55,812.5,813.0,0
64,3,56,177.0,177.0,0
66,3,57,150.0,151.5,0
65,9,57,452.0,455.0,0
67,3,58,61.0,61.0,0
68,1,59,351.0,352.0,0
69,1,60,408.0,423.0,0
70,1,61,507.5,517.5,0
71,3,61,58.5,59.0,0
72,4,62,31.0,31.0,0
73,3,62,15.5,15.5,0
74,3,63,268.0,268.0,0
75,3,64,25.0,25.0,0
76,4,65,13.0,13.0,0
77,3,66,79.0,79.0,0
78,3,67,273.0,281.0,0
79,3,68,113.0,113.0,0
80,3,69,145.0,148.0,0
81,3,70,252.0,303.0,0
82,3,71,56.0,56.0,0
83,3,72,103.0,103.0,0
84,3,73,144.0,145.0,0
85,3,74,32.0,45.0,0
2118,7,75,121.5,121.5,0
2058,8,75,151.5,151.5,0
86,3,75,939.0,940.0,0
87,3,76,90.0,90.0,0
89,7,77,25.0,25.0,0
90,8,77,25.0,25.0,0
88,1,77,984.0,1005.0,1
2053,4,77,134.5,136.5,0
91,3,77,58.5,58.5,0
92,9,77,73.5,73.5,0
93,1,78,21.0,21.0,0
94,3,79,14.0,14.0,0
95,7,80,471.0,471.0,0
97,8,80,5.5,5.5,0
1941,10,80,242.0,242.0,0
96,3,80,763.0,763.0,0
1856,11,80,75.0,75.0,0
1851,9,80,1033.0,1033.0,1
98,3,81,9.0,9.0,0
100,1,82,58.0,58.5,0
99,3,82,261.0,261.5,0
102,1,83,36.0,36.0,0
101,3,83,54.0,56.5,0
103,4,84,79.0,79.0,0
104,1,85,14.0,14.0,0
105,3,86,55.0,174.0,0
106,1,87,15.0,23.0,0
107,3,88,26.0,26.0,0
108,3,89,152.0,152.0,0
109,3,90,120.0,120.0,0
110,1,91,5.0,5.0,0
111,3,91,3.0,3.0,0
112,7,92,80.0,87.0,0
113,8,92,18.0,18.0,0
114,7,93,18.0,18.0,0
1730,1,94,1033.0,1033.0,1
115,3,94,303.0,303.0,0
116,4,95,151.5,151.5,0
117,3,95,0.0,0.0,0
118,1,96,53.0,53.0,0
119,1,97,173.0,173.0,0
120,1,98,117.0,117.0,0
121,3,99,603.0,607.0,0
122,1,100,70.0,70.0,0
123,1,101,12.0,12.0,0
124,1,102,15.0,15.0,0
125,4,103,248.0,248.0,0
126,1,104,533.0,533.0,0
127,1,105,32.0,32.0,0
128,4,106,88.0,88.0,0
129,1,107,2.5,2.5,0
130,1,108,133.0,133.0,0
131,10,108,92.0,92.0,0
132,1,109,724.0,724.0,0
133,1,110,190.0,190.0,0
134,1,111,159.5,159.5,0
135,1,112,125.0,125.0,0
136,3,113,303.0,303.0,0
137,1,114,495.0,495.0,0
138,3,115,73.0,73.0,0
140,4,116,447.5,455.5,0
139,3,116,455.5,455.5,0
141,7,117,182.5,182.5,0
1641,3,117,1033.0,1033.0,1
142,3,118,620.0,620.0,0
143,9,118,151.5,151.5,0
144,4,119,1.0,1.0,0
145,3,120,15.0,15.0,0
146,7,121,147.0,147.0,0
1640,3,121,1033.0,1033.0,1
147,4,122,0.0,0.0,0
148,3,123,0.0,0.0,0
149,3,124,0.0,0.0,0
151,8,125,18.0,18.0,0
150,3,125,303.0,303.0,0
152,11,126,517.0,526.0,0
153,10,127,893.0,910.0,0
154,11,127,888.5,910.0,0
155,11,128,1196.5,1206.0,1
157,10,129,4.0,4.0,0
156,11,129,481.0,482.0,0
159,3,130,15.0,15.0,0
158,11,130,259.0,285.0,0
160,18,131,146.5,147.5,0
161,18,132,434.5,439.5,0
162,11,132,49.0,52.5,0
163,18,133,432.5,439.5,0
164,18,134,438.0,442.5,0
165,17,135,2194.0,2275.0,1
166,17,136,429.0,606.0,0
167,22,137,208.0,209.5,0
168,23,138,183.5,303.0,0
169,11,139,46.0,46.0,0
172,10,140,124.0,129.0,0
171,3,140,507.0,524.0,0
170,11,140,163.0,207.5,0
173,17,141,282.0,286.0,0
175,1,142,27.0,27.0,0
174,10,142,471.5,484.5,0
1886,1,143,48.0,48.0,0
176,10,143,93.5,98.5,0
1992,11,143,368.5,368.5,0
177,11,144,14.0,14.0,0
178,3,145,292.0,303.0,0
179,3,146,11.0,11.0,0
180,4,147,77.0,77.0,0
181,3,148,24.0,26.0,0
182,3,149,16.0,16.0,0
183,3,150,153.0,156.0,0
184,3,151,40.5,40.5,0
185,5,152,26.5,26.5,0
186,3,152,17.0,17.0,0
187,11,152,858.0,1408.0,1
188,3,153,292.0,292.0,0
189,3,154,173.0,173.0,0
190,3,155,310.5,310.5,0
191,3,156,49.0,49.0,0
2016,4,157,363.0,363.0,0
192,3,157,6.0,6.0,0
194,7,158,181.5,182.5,0
193,3,158,1957.0,2427.0,0
195,1,159,10.0,10.0,0
196,1,160,7.0,7.0,0
197,3,161,56.0,56.0,0
198,1,162,87.5,87.5,0
199,1,163,12.0,12.0,0
200,3,163,17.0,17.0,0
