id,employee_id,beginDate,endDate,interruption_type_id
1,1,2002-12-04,2002-12-06,1
2,1,2003-04-29,2003-04-29,1
3,1,2003-12-10,2003-12-16,1
4,1,2004-02-12,2004-02-12,1
5,1,2004-02-26,2004-05-16,1
6,3,2004-01-29,2004-01-30,1
9,6,2004-03-29,2004-03-29,1
7,6,2004-05-04,2004-05-05,1
8,6,2004-05-10,2004-05-10,1
10,15,2002-03-11,2002-03-11,1
11,18,2005-06-23,2005-06-24,1
12,20,2004-02-18,2004-02-20,1
13,21,2005-02-23,2005-03-09,1
15,24,2001-11-22,2001-11-23,1
14,24,2002-01-31,2002-02-08,1
16,28,2006-01-25,2006-02-03,1
17,28,2006-03-10,2006-03-10,1
1451,28,2019-03-20,2019-03-20,1
18,29,2006-02-06,2006-02-08,1
20,30,2004-09-29,2004-09-29,1
21,30,2004-12-20,2004-12-24,1
19,30,2005-12-22,2005-12-23,1
22,30,2006-05-10,2006-05-10,1
23,30,2006-06-03,2006-06-09,1
24,30,2006-06-16,2006-06-30,1
25,30,2006-09-27,2006-09-27,1
26,30,2007-01-24,2007-01-26,1
28,38,2002-01-31,2002-02-01,1
29,38,2002-12-04,2003-01-24,1
30,38,2004-10-25,2004-10-27,1
27,38,2005-02-28,2005-03-27,1
31,43,2003-02-25,2003-02-28,1
32,47,2003-06-10,2003-06-15,1
33,49,2001-12-10,2002-01-02,1
34,49,2002-01-23,2002-04-17,1
35,49,2002-04-18,2002-06-30,1
36,50,2003-01-13,2003-01-13,1
37,50,2003-01-21,2003-02-04,1
38,51,2005-10-19,2005-10-21,1
39,52,2001-01-22,2001-01-23,1
40,54,2006-02-24,2006-02-24,1
41,55,2011-01-31,2011-01-31,1
42,57,2005-09-27,2005-09-27,1
43,57,2007-02-12,2007-02-14,1
46,57,2007-02-12,2007-02-14,1
44,57,2007-09-24,2007-09-24,1
45,57,2007-10-12,2007-10-12,1
47,59,2005-09-08,2005-09-08,1
48,60,2004-12-20,2004-12-20,1
49,60,2005-02-02,2005-02-04,1
50,60,2005-03-01,2005-03-04,1
51,60,2005-03-05,2005-03-11,1
52,61,2009-05-04,2009-05-04,1
53,61,2009-11-25,2009-11-26,1
54,61,2010-01-11,2010-01-17,1
55,67,2003-03-25,2003-04-01,1
57,69,2003-02-07,2003-02-07,1
56,69,2003-02-24,2003-02-25,1
58,70,2002-03-11,2002-03-13,1
59,70,2002-05-14,2002-06-30,1
60,73,2001-02-20,2001-02-20,1
62,74,2001-04-20,2001-04-20,1
63,74,2001-04-27,2001-04-27,1
61,74,2001-04-30,2001-05-10,1
64,75,2005-04-18,2005-04-18,1
65,77,2002-05-13,2002-05-15,1
66,77,2002-06-10,2002-06-11,1
67,77,2003-12-08,2003-12-19,1
68,77,2004-03-11,2004-03-12,1
69,77,2004-03-18,2004-03-19,1
1495,77,2019-06-11,2019-06-14,1
70,82,2006-06-12,2006-06-12,1
71,83,2006-03-27,2006-03-31,1
72,86,2006-01-23,2006-01-23,1
73,86,2006-02-06,2006-02-06,1
74,86,2006-02-16,2006-02-16,1
75,86,2006-03-07,2006-03-31,1
76,86,2006-04-01,2006-06-19,1
77,86,2006-06-20,2006-06-30,1
78,87,2006-01-26,2006-01-26,1
79,87,2006-02-04,2006-02-10,1
80,92,2005-02-18,2005-02-24,1
81,99,2002-11-07,2002-11-08,1
82,99,2003-11-27,2003-11-28,1
83,116,2005-10-10,2005-10-10,1
84,116,2006-02-03,2006-02-17,1
85,126,2005-03-15,2005-03-16,1
86,126,2005-03-17,2005-03-20,1
87,126,2005-05-31,2005-06-01,1
88,126,2006-05-29,2006-05-29,1
100,127,2003-11-06,2003-11-07,1
101,127,2004-01-06,2004-01-09,1
102,127,2004-03-08,2004-03-10,1
103,127,2004-06-25,2004-06-25,1
104,127,2004-11-29,2004-11-29,1
105,127,2004-12-13,2004-12-13,1
106,127,2005-02-21,2005-02-21,1
107,127,2005-10-25,2005-10-25,1
89,127,2005-10-25,2005-10-25,1
108,127,2005-12-12,2005-12-12,1
90,127,2005-12-12,2005-12-12,1
109,127,2005-12-19,2005-12-23,1
91,127,2005-12-19,2005-12-23,1
110,127,2006-03-13,2006-03-13,1
92,127,2006-03-13,2006-03-13,1
111,127,2006-03-28,2006-03-29,1
93,127,2006-03-28,2006-03-29,1
94,127,2006-11-07,2006-11-07,1
95,127,2006-11-20,2006-11-20,1
96,127,2007-01-15,2007-01-15,1
97,127,2007-03-05,2007-03-05,1
98,127,2007-05-07,2007-05-07,1
99,127,2007-06-11,2007-06-12,1
112,127,2007-06-11,2007-06-12,1
113,128,2003-03-05,2003-03-08,1
114,128,2003-11-24,2003-11-24,1
115,128,2004-10-07,2004-10-07,1
116,128,2005-05-31,2005-06-03,1
117,128,2006-03-07,2006-03-07,1
118,128,2006-05-04,2006-05-04,1
119,129,2006-06-27,2006-06-27,1
120,129,2008-03-10,2008-03-10,1
121,130,2005-10-24,2005-10-24,1
122,130,2005-11-28,2005-12-02,1
123,130,2005-12-20,2005-12-20,1
124,130,2006-01-19,2006-02-03,1
125,130,2006-03-23,2006-03-23,1
126,130,2006-05-08,2006-05-08,1
127,130,2006-06-09,2006-06-09,1
128,131,2005-12-09,2005-12-09,1
129,131,2006-02-24,2006-02-24,1
130,132,2004-12-17,2004-12-17,1
134,132,2004-12-17,2004-12-17,1
131,132,2005-01-14,2005-01-19,1
135,132,2005-01-14,2005-01-19,1
132,132,2005-04-12,2005-04-12,1
133,132,2005-11-28,2005-11-28,1
136,133,2006-12-15,2006-12-15,1
137,133,2007-02-09,2007-02-09,1
138,133,2007-03-19,2007-03-30,1
139,134,2005-03-04,2005-03-04,1
140,134,2006-01-17,2006-01-17,1
141,134,2006-11-28,2006-11-28,1
142,134,2007-02-27,2007-03-02,1
143,134,2007-06-04,2007-06-04,1
144,135,2005-11-07,2005-11-07,1
145,135,2005-12-05,2005-12-05,1
146,135,2006-03-06,2006-03-06,1
147,135,2006-04-27,2006-04-27,1
148,135,2006-05-31,2006-06-07,1
149,135,2006-10-23,2006-10-24,1
150,135,2007-01-09,2007-01-11,1
151,135,2007-03-05,2007-03-08,1
152,135,2007-10-08,2007-10-08,1
153,135,2008-01-17,2008-03-09,1
154,135,2008-04-29,2008-04-29,1
155,135,2011-10-18,2011-10-18,1
156,135,2011-11-17,2011-11-17,1
157,135,2011-11-21,2011-11-23,1
158,136,2006-01-10,2006-01-12,1
159,136,2007-01-08,2007-06-30,1
160,137,2005-10-27,2005-10-28,1
161,137,2006-04-18,2006-04-18,1
162,138,2006-01-31,2006-01-31,1
163,138,2006-03-27,2006-03-30,1
164,138,2006-11-09,2007-03-18,1
165,138,2007-03-19,2007-06-30,1
169,140,2005-03-07,2005-03-08,1
170,140,2005-04-18,2005-04-18,1
171,140,2005-06-07,2005-06-07,1
166,140,2006-03-20,2006-03-20,1
167,140,2006-09-07,2006-10-08,1
168,140,2006-10-09,2006-10-20,1
172,140,2006-11-13,2006-11-13,1
173,140,2006-12-01,2006-12-01,1
174,140,2006-12-14,2006-12-14,1
175,140,2006-12-28,2006-12-28,1
184,140,2007-01-12,2007-01-12,1
176,140,2007-01-22,2007-01-22,1
177,140,2007-03-19,2007-03-19,1
178,140,2007-04-23,2007-04-23,1
185,140,2007-05-04,2007-05-04,1
186,140,2007-06-08,2007-06-08,1
179,140,2007-10-08,2007-10-08,1
180,140,2007-11-13,2007-11-19,1
181,140,2008-01-10,2008-01-10,1
182,140,2008-04-28,2008-04-28,1
183,140,2008-05-13,2008-05-14,1
187,141,2006-02-13,2006-02-13,1
188,141,2006-02-15,2006-02-17,1
189,142,2006-03-13,2006-03-17,1
190,142,2007-03-23,2007-03-30,1
191,143,2006-03-22,2006-03-22,1
192,143,2006-03-23,2006-03-31,1
193,145,2001-10-25,2001-10-25,1
195,145,2002-01-17,2002-01-18,1
196,145,2002-02-01,2002-02-07,1
194,145,2002-03-20,2002-03-20,1
197,148,2001-10-25,2001-10-26,1
198,150,2002-01-08,2002-01-08,1
199,150,2002-02-19,2002-02-20,1
200,152,2004-12-20,2004-12-22,1
201,152,2006-05-22,2006-05-22,1
202,152,2007-11-27,2008-05-28,1
204,152,2008-09-01,2008-09-07,1
203,152,2008-09-08,2008-11-29,1
205,152,2009-10-02,2010-02-09,1
206,152,2010-02-10,2010-05-08,1
207,152,2010-05-09,2010-06-30,1
210,158,2005-05-27,2005-05-27,1
211,158,2005-06-09,2005-06-09,1
208,158,2005-09-09,2006-04-23,1
209,158,2006-04-24,2006-06-30,1
212,158,2007-11-14,2007-11-14,1
214,158,2009-11-18,2009-11-18,1
213,158,2010-01-11,2010-04-25,1
215,158,2010-04-26,2010-06-30,1
216,167,2003-11-25,2003-11-28,1
1190,172,2017-01-10,2017-01-10,1
1191,172,2017-01-13,2017-01-13,1
1192,172,2017-01-16,2017-01-23,1
1193,172,2017-03-28,2017-03-31,1
1194,172,2017-05-16,2017-05-24,1
1195,172,2017-06-15,2017-06-21,1
220,174,1998-12-14,1998-12-18,1
221,174,1999-03-08,1999-03-12,1
217,174,2003-02-13,2003-02-14,1
218,174,2003-02-24,2003-02-26,1
219,174,2003-02-27,2003-06-30,1
222,182,2003-03-17,2003-04-04,1
223,184,2004-10-19,2004-10-19,1
224,184,2004-11-24,2004-12-10,1
225,184,2005-01-13,2005-03-25,1
226,184,2005-04-21,2005-06-30,1
227,185,2001-10-15,2001-10-15,1
228,185,2001-11-20,2001-11-21,1
229,186,2002-11-14,2002-11-22,1
230,186,2003-05-13,2003-05-14,1
231,190,2000-12-01,2000-12-01,1
232,190,2001-01-25,2001-01-26,1
233,192,2005-01-31,2005-02-02,1
234,193,2003-02-10,2003-02-12,1
235,195,2002-02-07,2002-02-08,1
236,198,2003-11-10,2003-11-10,1
237,199,2000-12-13,2000-12-13,1
238,202,2002-03-29,2002-03-29,1
239,203,2001-10-25,2001-10-26,1
240,203,2001-12-18,2001-12-18,1
241,203,2002-01-11,2002-01-11,1
242,209,2004-10-26,2004-10-27,1
243,209,2004-10-26,2004-10-27,1
244,209,2007-03-06,2007-03-06,1
245,214,2005-03-10,2005-03-18,1
246,215,2006-02-21,2006-02-24,1
247,215,2006-05-10,2006-05-12,1
248,215,2006-09-25,2006-10-31,1
249,216,2000-12-01,2000-12-01,1
250,216,2001-01-25,2001-01-26,1
257,217,2005-10-24,2005-10-26,1
255,217,2006-02-07,2006-02-10,1
256,217,2006-03-16,2006-03-21,1
251,217,2006-09-26,2006-09-29,1
252,217,2006-10-18,2006-10-27,1
253,217,2006-12-20,2006-12-22,1
254,217,2007-03-12,2007-03-16,1
258,217,2007-09-12,2007-09-14,1
259,217,2007-10-15,2007-10-17,1
260,217,2008-01-07,2008-01-11,1
261,217,2008-01-22,2008-02-01,1
262,217,2008-04-10,2008-04-11,1
266,218,2001-10-05,2001-10-05,1
267,218,2001-10-25,2001-10-25,1
268,218,2002-01-28,2002-01-30,1
269,218,2002-11-07,2002-11-08,1
270,218,2003-01-07,2003-01-10,1
271,218,2003-09-30,2003-10-01,1
281,218,2003-09-30,2003-10-01,1
282,218,2004-04-19,2004-04-23,1
272,218,2004-04-20,2004-04-23,1
263,218,2004-09-27,2004-09-29,1
278,218,2004-09-27,2004-09-29,1
264,218,2004-10-25,2005-02-02,1
280,218,2004-10-25,2005-02-02,1
265,218,2005-03-08,2005-03-11,1
279,218,2005-03-08,2005-03-11,1
273,218,2006-03-15,2006-05-02,1
274,218,2006-09-11,2006-12-24,1
275,218,2007-02-08,2007-02-09,1
276,218,2007-11-06,2007-11-09,1
277,218,2007-11-15,2007-11-16,1
283,219,2002-04-24,2002-05-17,1
284,223,2001-10-25,2001-10-26,1
1148,227,2016-09-21,2016-09-21,1
1149,227,2016-12-02,2016-12-02,1
1150,227,2017-01-16,2017-04-16,1
